# LBCH-2026-001 verification witness — THREE-WAY per-vector sigCheck record, post-fix.
#
# Re-measurement of the CHECKMULTISIG Schnorr billing fix (commit 06cc3a3) against BOTH reference
# engines. Supersedes nothing; it ADDS the BCHN (consensus) leg that the fix-time artifact
# LBCH-2026-001-fix-deltas.tsv lacked, which is what left the soundness direction unclosed.
#
# ENGINE / CORPUS VERSIONS
#   leanbch = ./.lake/build/bin/costprobe @ LeanBCH commit 06cc3a3, LEANBCH_SECP=native
#             (oracle banner: "native(libsecp256k1/BCHN-vendored)")
#   bchn    = legs/bchn/bchn-leg of bch-conformance, linking BCHN's own script engine built from
#             bchn-src @ 864c53ee34924cca6c6b6d96607ff2cedcdccf02 (v29.0.1), run with --mode consensus
#   libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#             createVirtualMachineBch2026(); verify() for the verdict, evaluate().metrics for counts
#   corpus  = vmb_tests, the 11 signature families, 5,803 vectors, 4,467 metric-comparable.
#             Read from bchd-src/txscript/data/vmb_tests @ 1c26e26; all 18 family files are
#             byte-identical (cmp) to bchn-src/src/test/data/vmb_tests @ 864c53e.
#   Measured 2026-07-21.
#
# DRIVER VALIDATION (done BEFORE any use): the libauth driver reproduces the committed witness
#   conformance/evidence/LBCH-2026-001-rootcause.tsv on 0u4tu8 exactly (sigChecks 1, hashIters 22,
#   opCost 30962). The costprobe run reproduces all 1,486 rows of LBCH-2026-001-fix-deltas.tsv on
#   three independent columns (sigChecksAfter, libauthSigChecks, opCostAfter) with 0 mismatches.
#
# sigBefore is the pre-fix LeanBCH count, reconstructed from the committed fix-deltas artifact
# (which lists every vector that MOVED); vectors absent from it did not move, so before == after.
#
# HEADLINE — sigChecks, over the 4467 metric-comparable vectors:
#   vs libauth : before agree/over/under = (2229, 1912, 326)
#                after  agree/over/under = (2799, 1342, 326)
#   vs BCHN    : before agree/over/under = (1549, 2594, 324)
#                after  agree/over/under = (1759, 2384, 324)
#
# SOUNDNESS DIRECTION (LeanBCH billing LESS than consensus):
#   324 vectors bill under BCHN. ALL of them are vectors LeanBCH REJECTS
#   (leanVerdict=0) and BCHN accepts; 0 of them are new (the fix introduced none).
#   On the 1817 vectors LeanBCH ACCEPTS: under=0, agree=1547, over=270
#   — an under-bill on an accepted input is the only way a cost defect can cause a wrong ACCEPT,
#   and there are none, before or after the fix.
#   Cause of the 324: all are core.signing-serialization Schnorr-multisig vectors whose
#   locking script carries FOUR signature ops; LeanBCH errors at the first CHECKMULTISIG with a
#   non-empty dummy (the deferred branch, LeanBCH/VM/Extended.lean:228) and never executes -- hence
#   never bills -- the remaining three. Deferral of EXECUTION, not a billing error.
#
# MULTISIG PARTITION (the families named *.multisig.*): comparable=1367, verdict-agreeing-with-libauth=1155
#   vs libauth, verdict-agreeing: before (333, 820, 2) -> after (477, 676, 2)  (agree/over/under)
#   The historical "2,617 verdict-agreeing multisig vectors / 1,255 / 1,360 / 2" is NOT reproducible:
#   the multisig families supply only 1908 vectors in total (1367 comparable), and a search over 11
#   candidate partitions x {libauth,bchn} x {before,after} found NO combination yielding that triple.
#   Its "under = 2" column DOES reproduce exactly: 0u4tu8 and g8xdap, both m-of-15, both LeanBCH 0 /
#   libauth 1 / BCHN 0 -- i.e. LeanBCH matches CONSENSUS and libauth is the outlier (LBCH-2026-003).
#
# columns: sigBefore/sigAfter = LeanBCH pre/post fix; sigLibauth, sigBchn = reference engines.
# leanVerdict: 1=accept 0=reject. bchnOutcome: BCHN's accept/reject. expected: corpus polarity.
vectorId	family	variant	expected	leanVerdict	bchnOutcome	sigBefore	sigAfter	sigLibauth	sigBchn	opCostAfter
0cfdt2	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28996
0csyma	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188956
0ddnvn	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29105
0dflf0	core.signing-serialization	standard	1	0	accept	2	1	4	4	29073
0dhre9	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
0e9l6n	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54523
0eslc2	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136503
0eu4ye	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109862
0f235x	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29465
0f38t3	core.signing-serialization	standard	1	1	accept	8	8	8	8	214391
0fjrvm	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29489
0ft673	core.data-signatures	standard	1	1	accept	1	1	1	1	26809
0fvdze	core.signing-serialization	standard	1	0	accept	3	1	4	4	29489
0fzk0q	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54517
0gc03x	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
0gd7sy	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
0gj7hx	core.data-signatures	standard	1	1	accept	1	1	1	1	27420
0gvec6	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	2	0	54517
0gzwyq	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
0hgdca	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
0hpxgu	core.signing-serialization	standard	1	0	accept	3	1	4	4	29369
0hq5n9	core.signing-serialization	standard	1	0	accept	2	1	4	4	29068
0ht5z3	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27845
0htk87	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189180
0j0a6m	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54517
0j8gc8	core.data-signatures	standard	1	1	accept	1	1	1	1	26805
0jwxl0	core.data-signatures	standard	1	1	accept	1	1	1	1	27557
0k7ely	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188927
0k87ea	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29489
0khjwf	core.data-signatures	standard	1	1	accept	1	1	1	1	26891
0knhgk	core.data-signatures	standard	1	1	accept	1	1	1	1	28419
0l27s8	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27882
0l5upk	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29489
0l92g9	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54534
0l9sju	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
0lhvxs	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54540
0lzdhx	core.data-signatures	standard	1	1	accept	1	1	1	1	28513
0mdmf4	core.signing-serialization	standard	1	1	accept	6	6	6	6	162658
0mkcak	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28508
0mpz32	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189156
0myx4l	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28972
0ncspw	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
0nf930	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
0nucey	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59080
0nujwy	core.signing-serialization	standard	1	1	accept	4	4	4	4	108881
0nunem	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54540
0pas6j	core.signing-serialization	standard	1	1	accept	4	4	4	4	107827
0q276w	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28055
0q84w4	core.signing-serialization	standard	1	1	accept	6	6	6	6	162439
0q85fk	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28996
0qn4zd	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188932
0quqyl	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27894
0r4y2t	core.signing-serialization	standard	1	1	accept	8	8	8	8	214354
0rcts4	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	8	0	0	221495
0rj3rj	core.signing-serialization	standard	1	1	accept	6	6	6	6	162439
0rs0dn	core.signing-serialization	standard	1	1	accept	4	4	4	4	108471
0s6gjd	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	0	0	30868
0s9fav	core.data-signatures	standard	1	1	accept	1	1	1	1	27513
0sg4rj	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27922
0spjrw	core.data-signatures	standard	1	1	accept	1	1	1	1	27386
0svzd9	core.signing-serialization	standard	1	1	accept	6	6	6	6	162663
0sxd8n	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59080
0t258n	core.signing-serialization	standard	1	1	accept	6	6	6	6	162463
0tenug	core.signing-serialization	invalid	0	1	reject	8	8	0	0	214391
0tky8x	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27913
0tn7tv	core.signing-serialization	standard	1	1	accept	4	4	4	4	108412
0tra4x	core.signing-serialization	standard	1	1	accept	6	6	6	6	162682
0ttpm0	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
0tz0dg	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
0tzkfr	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
0u4tu8	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	0	0	1	0	4194
0u8gek	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	15	0	0	394860
0u9jnj	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27913
0ufltj	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27877
0ugsxk	core.signing-serialization	standard	1	1	accept	4	4	4	4	108434
0utfky	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28506
0v34lk	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28025
0v9ft6	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28572
0va5r2	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
0vc2qk	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54534
0vdftj	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215316
0vfxft	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136269
0vp2mv	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54547
0vykqw	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54510
0w3mrj	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54517
0whgm4	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54510
0x5nrw	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189156
0xc993	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29092
0y9rrr	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80547
0yd5ag	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162682
0ydl6v	core.data-signatures	standard	1	1	accept	1	1	1	1	27432
0ye44d	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29092
0ze9cn	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54540
0zfse0	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
0zgakw	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28972
0ztuc0	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80523
2045fl	core.signing-serialization	standard	1	0	accept	2	1	4	4	29068
209ry0	core.signing-serialization	standard	1	1	accept	6	6	6	6	162458
20fld9	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189156
20hf62	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54534
20kvlh	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
22kyfx	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28031
22tr9s	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
22xq2l	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109105
22y3m7	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28567
22zpng	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27857
23ghpm	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54540
23va3g	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59080
24lgmt	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
24m8f9	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29068
250ucr	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	20	0	0	527101
25p4zk	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27845
260cf4	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
26g899	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80546
26px3x	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28508
26u5s0	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
277aqt	core.signing-serialization	standard	1	1	accept	4	4	4	4	109572
27d6vt	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
27eptq	core.signing-serialization	standard	1	0	accept	1	1	4	4	28591
27x7e0	core.signing-serialization	invalid	0	0	reject	5	5	0	0	136517
27xdzg	core.signature-checking.multisig.m-of-3	standard	1	0	accept	3	1	1	1	28025
29e72t	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80540
29fgqs	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79783
29gsez	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27913
29wnch	core.data-signatures	standard	1	1	accept	1	1	1	1	27416
2amw70	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29068
2apqla	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
2arnr7	core.signature-checking.multisig.pubkey-validation	standard	1	1	accept	2	2	2	2	53823
2avt7m	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59094
2cch2q	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	30868
2ctmnm	core.signing-serialization	standard	1	1	accept	8	8	8	8	215116
2d0ffc	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	3	0	80539
2dl8mz	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27881
2dn0wt	core.signing-serialization	standard	1	1	accept	4	4	4	4	107792
2dw2dn	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108056
2e3056	core.data-signatures	standard	1	1	accept	1	1	1	1	27985
2e9qg6	core.data-signatures	standard	1	1	accept	1	1	1	1	26922
2epttn	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
2exjzl	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
2f09fm	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
2f49tf	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	20	20	0	527115
2fjza8	core.signature-checking.multisig.pubkey-validation	standard	1	0	accept	2	1	1	1	27818
2fpcrc	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136298
2fthld	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29369
2fucgp	core.data-signatures	standard	1	1	accept	1	1	1	1	27453
2g6psa	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188956
2gcee7	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59094
2gmnzy	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27883
2gxe0f	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215321
2h6dqj	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162658
2hlfym	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108447
2hpqv5	core.signing-serialization	standard	1	1	accept	4	4	4	4	108676
2j2er3	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27883
2j4qtu	core.data-signatures	standard	1	1	accept	1	1	1	1	29443
2j6x9l	core.signing-serialization	standard	1	0	accept	1	1	4	4	28495
2jnufh	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108641
2kfvfa	core.data-signatures	standard	1	1	accept	1	1	1	1	27146
2khtd7	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28484
2knq9c	core.signing-serialization	standard	1	1	accept	4	4	4	4	108412
2knqn6	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
2kr4y0	core.signing-serialization	standard	1	1	accept	8	8	8	8	215316
2ktwzs	core.data-signatures	standard	1	1	accept	1	1	1	1	27528
2kxfhn	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215353
2l6fp9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	107817
2l7rhl	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29092
2le6n8	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136498
2m7u6h	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27845
2m7z7r	core.signing-serialization	standard	1	1	accept	4	4	4	4	109825
2mjkry	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136269
2mxxye	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54540
2n6qdw	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28471
2n6zqk	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54517
2nm2c0	core.data-signatures	standard	1	1	accept	1	1	1	1	27443
2nyws8	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27859
2p3hrg	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
2pq8h4	core.signing-serialization	standard	1	1	accept	8	8	8	8	215092
2puhsh	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
2qfa2r	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
2qmkpe	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28580
2ryzmg	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29393
2s7j0d	core.data-signatures	standard	1	1	accept	1	1	1	1	28435
2s8ekq	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27901
2sduce	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189175
2sj54s	core.signing-serialization	standard	1	1	accept	6	6	6	6	162700
2t22nc	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
2t3mxh	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188932
2t4kml	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54523
2t5xmd	core.signing-serialization	invalid	0	0	reject	5	5	0	0	136498
2tw9d8	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188927
2umkvx	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136293
2usyyq	core.signing-serialization	standard	1	0	accept	2	1	4	4	29092
2utmsk	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54540
2uy6ep	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27929
2v5jek	core.signing-serialization	standard	1	1	accept	4	4	4	4	108021
2vycl3	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	27946
2vzncf	core.signing-serialization	standard	1	1	accept	4	4	4	4	108447
2vzxrz	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
2w6x2e	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28025
2wp6hx	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	20	20	0	527091
2xeaw5	core.signing-serialization	standard	1	1	accept	8	8	8	8	215097
2xxuva	core.signing-serialization	standard	1	1	accept	4	4	4	4	108439
2y3mfk	core.signature-checking.multisig.m-of-15	standard	1	0	accept	15	1	1	1	30886
2y8dya	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28972
2yadfk	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80523
2z2sml	core.signing-serialization	standard	1	1	accept	6	6	6	6	162463
2z4c54	core.signing-serialization	invalid	0	1	reject	4	4	0	0	107792
2zapmh	core.signing-serialization	standard	1	1	accept	4	4	4	4	108412
2zl9gh	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27869
2zldy2	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28567
2zngl0	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162682
2zs4yc	core.signing-serialization	standard	1	1	accept	6	6	6	6	161833
30mvm8	core.benchmarks.signature-checking.p2pk	standard	1	1	accept	1	1	1	1	26725
30tsh9	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29369
