# LBCH-2026-001 fix witness — per-vector sigCheck deltas from the CHECKMULTISIG Schnorr billing fix.
# Every vector whose LeanBCH signatureCheckCount MOVED, over the 11 signature families of the
# official BCH vmb_test corpus (5,803 vectors; 4,467 reach a comparable metric total).
#
# Sources: corpus  = bchn-src/src/test/data/vmb_tests @ 864c53e (BCHN v29.0.1)
#          leanbch = ./.lake/build/bin/costprobe, LEANBCH_SECP=native, this commit vs parent a8b7682
#          libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#                    createVirtualMachineBch2026().evaluate() — driver validated against the
#                    committed 0u4tu8 witness (libauth sigChecks 1, hashIters 22: reproduced exactly).
# Measured 2026-07-21.
#
# Direction: sigChecksAfter <= sigChecksBefore on EVERY vector (0 increases corpus-wide).
# Non-sig metrics (evaluatedInstructionCount / hashDigestIterations / arithmeticCost /
# stackPushedBytes) and all verdicts are UNCHANGED on all 4,467 vectors.
#
# NOTE on libauthSigChecks: this is libauth's WHOLE-INPUT total. Where it exceeds LeanBCH's by a
# wide margin the cause is the still-DEFERRED Schnorr-multisig execution branch
# (LeanBCH/VM/Extended.lean:228): LeanBCH errors at the first Schnorr CHECKMULTISIG and never
# executes the input's remaining signature ops, so their checks are never billed. All 216 vectors
# whose libauth-relative under-bill DEEPENED are vectors LeanBCH REJECTS for that reason.
vectorId	family	sigChecksBefore	sigChecksAfter	libauthSigChecks	opCostBefore	opCostAfter
0vc2qk	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
0vp2mv	core.signature-checking.multisig.m-of-3	3	2	0	80547	54547
0vykqw	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
0w3mrj	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
0whgm4	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
0xc993	core.signing-serialization	2	1	1	55092	29092
0ye44d	core.signing-serialization	2	1	1	55092	29092
0ze9cn	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
0zfse0	core.signing-serialization	2	1	4	54996	28996
0zgakw	core.signing-serialization	2	1	1	54972	28972
2045fl	core.signing-serialization	2	1	4	55068	29068
20hf62	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
20kvlh	core.signing-serialization	3	1	4	81393	29393
22kyfx	core.signature-checking.multisig.m-of-3	3	1	1	80031	28031
22tr9s	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
23ghpm	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
23va3g	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
24lgmt	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
24m8f9	core.signing-serialization	2	1	1	55068	29068
260cf4	core.signing-serialization	3	1	4	81393	29393
27d6vt	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
27xdzg	core.signature-checking.multisig.m-of-3	3	1	1	80025	28025
2amw70	core.signing-serialization	2	1	1	55068	29068
2apqla	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
2avt7m	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
2cch2q	core.signature-checking.multisig.m-of-15	15	1	1	394868	30868
2epttn	core.signing-serialization	3	1	4	81393	29393
2f09fm	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
2fjza8	core.signature-checking.multisig.pubkey-validation	2	1	1	53818	27818
2fthld	core.signing-serialization	3	1	1	81369	29369
2gcee7	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
2knqn6	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
2l7rhl	core.signing-serialization	2	1	1	55092	29092
2mxxye	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
2n6zqk	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
2p3hrg	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
2puhsh	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
2ryzmg	core.signing-serialization	3	1	1	81393	29393
2t22nc	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
2t4kml	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
2usyyq	core.signing-serialization	2	1	4	55092	29092
2utmsk	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
2uy6ep	core.signature-checking.multisig.pubkey-validation	2	1	1	53929	27929
2vycl3	core.signature-checking.multisig.pubkey-validation	2	1	0	53946	27946
2w6x2e	core.signature-checking.multisig.m-of-3	3	1	1	80025	28025
2y3mfk	core.signature-checking.multisig.m-of-15	15	1	1	394886	30886
2y8dya	core.signing-serialization	2	1	1	54972	28972
30tsh9	core.signing-serialization	3	1	1	81369	29369
30wz8j	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
32x558	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
337tec	core.signing-serialization	2	1	4	55068	29068
342dwp	core.signature-checking.multisig.m-of-15	15	1	1	394886	30886
34wrpf	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
359a3l	core.signing-serialization	2	1	0	55105	29105
35n0p2	core.signing-serialization	3	1	1	81369	29369
35zwqd	core.signing-serialization	3	1	4	81369	29369
37k4z2	core.signature-checking.multisig.m-of-20	20	8	8	533470	221470
37mpwp	core.signing-serialization	3	1	1	81526	29526
39c25j	core.signing-serialization	2	1	4	55068	29068
39cpmt	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
39e6fj	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
3a5zg4	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
3atr3w	core.signing-serialization	3	1	4	81489	29489
3ddtzx	core.signature-checking.multisig.m-of-20	20	2	1	524855	56855
3de6qa	core.signing-serialization	3	1	4	81393	29393
3eat5y	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
3egvl9	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
3ervay	core.signature-checking.multisig.m-of-15	15	1	1	394892	30892
3f0v26	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
3fd605	core.signature-checking.multisig.m-of-15	15	1	1	394868	30868
3fm99c	core.signing-serialization	3	1	1	81393	29393
3g6s6j	core.signing-serialization	2	1	4	54972	28972
3g6ytt	core.signing-serialization	2	1	4	55068	29068
3gugfj	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
3h37nd	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
3hdtc7	core.signing-serialization	3	1	0	81489	29489
3hltlz	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
3kdx09	core.signing-serialization	3	1	1	81369	29369
3mcjzt	core.signing-serialization	3	1	1	81369	29369
3p0twv	core.signing-serialization	2	1	1	54996	28996
3p2tc3	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
3qmxws	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
3rflde	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
3rphfg	core.signing-serialization	2	1	1	54996	28996
3sk4sd	core.signature-checking.multisig.m-of-3	3	2	1	80547	54547
3strm9	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
3tsc43	core.signing-serialization	3	1	4	81465	29465
3tss7f	core.signing-serialization	3	1	1	81393	29393
3uawgh	core.signature-checking.multisig.m-of-20	20	2	1	524868	56868
3ucvej	core.signing-serialization	2	1	0	55068	29068
3uza3t	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
3vhtmk	core.signing-serialization	2	1	0	55092	29092
3w0lfl	core.signing-serialization	3	1	1	81465	29465
3w2kv8	core.signature-checking.multisig.pubkey-validation	2	1	1	53931	27931
3xa22u	core.signing-serialization	3	1	4	81393	29393
3zefj3	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
40esjr	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
40nqn8	core.signature-checking.multisig.pubkey-validation	2	1	1	53955	27955
40vfnp	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
423tgx	core.signature-checking.multisig.pubkey-validation	2	1	0	53953	27953
43c85z	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
44kvq9	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
45xrg5	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
46a2hq	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
46ty9p	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
47txk2	core.signing-serialization	3	1	4	81393	29393
48q475	core.signing-serialization	3	1	4	81369	29369
498m2p	core.signing-serialization	2	1	1	54996	28996
499xzc	core.signing-serialization	3	1	4	81465	29465
49f279	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
4a9p79	core.signature-checking.multisig.pubkey-validation	2	1	0	53680	27680
4asdya	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
4axxr6	core.signing-serialization	2	1	1	55073	29073
4d2ll2	core.signature-checking.multisig.pubkey-validation	2	1	1	53922	27922
4d3fda	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
4d858v	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
4egk46	core.signing-serialization	3	1	4	81369	29369
4ejrzv	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
4gj569	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
4gtnps	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
4h2rwc	core.signing-serialization	3	1	0	81465	29465
4hfx25	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
4hvdh0	core.signing-serialization	3	1	4	81489	29489
4j5sxk	core.signing-serialization	3	1	4	81465	29465
4kxa4j	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
4lacul	core.signature-checking.multisig.m-of-3	3	2	2	80541	54541
4lq4pv	core.signing-serialization	2	1	4	55073	29073
4mtzsh	core.signature-checking.multisig.m-of-3	3	2	0	80523	54523
4mxptv	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
4pwr9u	core.signing-serialization	3	1	0	81489	29489
4qfkx7	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
4rg4g2	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
4rhk7z	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
4rt0hh	core.signature-checking.multisig.m-of-3	3	1	1	80056	28056
4us0nf	core.signature-checking.multisig.m-of-20	20	8	1	533497	221497
4vrtmw	core.signing-serialization	2	1	1	55073	29073
4x8ucf	core.signing-serialization	3	1	1	81369	29369
4xfsxg	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
4xg8q3	core.signature-checking.multisig.m-of-15	15	1	1	394868	30868
4xl0ja	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
4y4wx6	core.signing-serialization	3	1	0	81465	29465
4y9hmy	core.signing-serialization	2	1	1	54996	28996
4z3jpd	core.signing-serialization	3	1	0	81465	29465
525lku	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
52t3km	core.signature-checking.multisig.m-of-3	3	2	2	80517	54517
532wtm	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
540xwz	core.signature-checking.multisig.m-of-20	20	2	1	524879	56879
544cdn	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
563gxe	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
58e4xe	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
59ek8j	core.signing-serialization	3	1	1	81393	29393
59l6p2	core.signature-checking.multisig.m-of-20	20	2	1	524892	56892
5avxuj	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
5da4sr	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
5ed5ku	core.signing-serialization	3	1	4	81470	29470
5evfu5	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
5fc249	core.signing-serialization	3	1	1	81489	29489
5fkl46	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
5g6u8k	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
5gaeav	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
5ggj30	core.signing-serialization	2	1	1	55068	29068
5hsj9k	core.signing-serialization	2	1	4	54972	28972
5j885v	core.signature-checking.multisig.pubkey-validation	2	1	1	53704	27704
5jkkp3	core.signing-serialization	3	1	0	81526	29526
5jr66p	core.signing-serialization	3	1	1	81489	29489
5kdvn7	core.signing-serialization	2	1	1	55097	29097
5ke3ug	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
5ks5g9	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
5l80lr	core.signing-serialization	3	1	1	81369	29369
5lgqza	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
5n32vm	core.signature-checking.multisig.m-of-20	20	2	1	524892	56892
5nh765	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
5njf7q	core.signing-serialization	2	1	4	54972	28972
5p6djz	core.signing-serialization	3	1	4	81465	29465
5pj6ur	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
5pqure	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
5q9e4y	core.signing-serialization	3	1	4	81470	29470
5r5um6	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
5rq5pf	core.signing-serialization	3	1	1	81465	29465
5rqkaj	core.signing-serialization	2	1	0	55129	29129
5tcq6v	core.signature-checking.multisig.m-of-3	3	1	1	80032	28032
5tdjr8	core.signing-serialization	2	1	0	55092	29092
5tqlnx	core.signature-checking.multisig.m-of-3	3	2	1	80547	54547
5uktmr	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
5ulj6n	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
5uracz	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
5uxcjn	core.signature-checking.multisig.m-of-20	20	2	1	524868	56868
5v2hcs	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
5vr6tf	core.signing-serialization	2	1	0	55068	29068
5vvnnm	core.signing-serialization	2	1	4	54996	28996
5xd04t	core.signing-serialization	3	1	4	81494	29494
5y23qu	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
5ygxxm	core.signature-checking.multisig.m-of-15	15	1	1	394862	30862
5z28tt	core.signing-serialization	3	1	1	81393	29393
5z9xwz	core.signing-serialization	2	1	1	55073	29073
5zvzqf	core.signing-serialization	2	1	4	55092	29092
60cf9g	core.signing-serialization	3	1	4	81489	29489
63c9e3	core.signing-serialization	3	1	1	81369	29369
63q2hx	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
645uq5	core.signature-checking.multisig.pubkey-validation	2	1	0	53922	27922
64gfrr	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
653ua5	core.signing-serialization	2	1	0	55068	29068
658sk0	core.signing-serialization	2	1	4	55068	29068
65f6vk	core.signature-checking.multisig.pubkey-validation	2	1	1	53952	27952
67a7m6	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
683py2	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
68qcmr	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
6a8w6a	core.signature-checking.multisig.m-of-3	3	1	1	80031	28031
6aspy2	core.signature-checking.multisig.pubkey-validation	2	1	1	53946	27946
6axjkd	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
6cguj5	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
6ddgn5	core.signing-serialization	2	1	1	54972	28972
6dqk6r	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
6ffz64	core.signature-checking.multisig.m-of-15	15	1	0	394868	30868
6hpuxf	core.signature-checking.multisig.m-of-3	3	2	0	80523	54523
6k78j8	core.signing-serialization	3	1	1	81502	29502
6k7w5j	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
6kf6np	core.signing-serialization	2	1	4	54972	28972
6mrppr	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
6mrqfz	core.signature-checking.multisig.pubkey-validation	2	1	0	53952	27952
6n8rgg	core.signing-serialization	2	1	4	55097	29097
6p0wyn	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
6p54gs	core.signature-checking.multisig.m-of-20	20	2	1	524049	56049
6pfvxz	core.signing-serialization	3	1	0	81489	29489
6qmjm7	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
6qwdsd	core.signature-checking.multisig.m-of-20	20	2	2	527104	59104
6qxvjd	core.signature-checking.multisig.m-of-3	3	2	2	80540	54540
6rh3tu	core.signature-checking.multisig.pubkey-validation	2	1	1	53929	27929
6u0mlh	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
6vl2w3	core.signing-serialization	2	1	1	55097	29097
6vlswt	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
6vnlyz	core.signature-checking.multisig.m-of-20	20	2	1	524879	56879
6vuney	core.signature-checking.multisig.pubkey-validation	2	1	1	53800	27800
6vyjql	core.signing-serialization	2	1	1	55092	29092
6xlz44	core.signature-checking.multisig.m-of-3	3	1	1	80031	28031
6y5gv3	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
6yyc56	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
6ztk2h	core.signature-checking.multisig.m-of-20	20	9	1	534590	248590
6zz804	core.signing-serialization	3	1	0	81489	29489
720s87	core.signing-serialization	3	1	4	81393	29393
73204z	core.signing-serialization	2	1	0	55068	29068
73h74c	core.signing-serialization	3	1	0	81465	29465
747phm	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
74zadf	core.signature-checking.multisig.m-of-3	3	1	1	80049	28049
764wzt	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
76g9nz	core.signature-checking.multisig.m-of-3	3	2	0	80523	54523
77ermd	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
77qqky	core.signing-serialization	3	1	0	81465	29465
787auj	core.signature-checking.multisig.pubkey-validation	2	1	1	53931	27931
78e5rq	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
797q6t	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
7a2ly5	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
7a6zct	core.signing-serialization	3	1	1	81369	29369
7aeq27	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
7agpp2	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
7dx3zv	core.signing-serialization	3	1	4	81369	29369
7ed55p	core.signing-serialization	3	1	0	81489	29489
7ed7yx	core.signing-serialization	2	1	0	55068	29068
7f6xd9	core.signing-serialization	2	1	4	55092	29092
7g54n4	core.signing-serialization	2	1	1	54996	28996
7gnse0	core.signing-serialization	3	1	4	81465	29465
7h2spd	core.signing-serialization	2	1	0	55068	29068
7j062x	core.signature-checking.multisig.m-of-15	15	1	1	394868	30868
7jeumv	core.signing-serialization	2	1	4	54996	28996
7js44g	core.signing-serialization	3	1	1	81393	29393
7jxgd7	core.signature-checking.multisig.pubkey-validation	2	1	1	53922	27922
7l45x9	core.signature-checking.multisig.m-of-3	3	2	1	80546	54546
7n4dlt	core.signing-serialization	3	1	1	81489	29489
7npdc7	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
7nyuu3	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
7p34lv	core.signature-checking.multisig.pubkey-validation	2	1	1	53794	27794
7pv3dk	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
7qd5n5	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
7qpwyk	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
7rsrg6	core.signature-checking.multisig.pubkey-validation	2	1	1	53794	27794
7tk4pv	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
7tshzh	core.signature-checking.multisig.m-of-3	3	1	1	80055	28055
7vmgft	core.signature-checking.multisig.pubkey-validation	2	1	0	53674	27674
7xnhrl	core.signing-serialization	2	1	0	55068	29068
7xny36	core.signature-checking.multisig.m-of-15	15	1	1	394892	30892
7xv30g	core.signing-serialization	2	1	1	55068	29068
7y3qtq	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
7yaqth	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
7yckuz	core.signature-checking.multisig.pubkey-validation	2	1	1	53955	27955
807ujk	core.signing-serialization	3	1	1	81369	29369
80k4un	core.signing-serialization	3	1	1	81393	29393
82sm2m	core.signing-serialization	3	1	4	81502	29502
832p22	core.signing-serialization	2	1	1	54996	28996
83dmdh	core.signature-checking.multisig.m-of-20	20	2	2	527104	59104
83vapw	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
842vhy	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
843jz9	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
849zzy	core.signature-checking.multisig.pubkey-validation	2	1	0	53680	27680
85ktm8	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
87au58	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
89qxht	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
8a5ynv	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
8cft2k	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
8cn37l	core.signing-serialization	2	1	4	54996	28996
8d6vew	core.signing-serialization	2	1	1	55068	29068
8eal4j	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
8epcmf	core.signature-checking.multisig.m-of-20	20	2	2	527080	59080
8gd45t	core.signing-serialization	2	1	4	54972	28972
8gfs8j	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
8gjpul	core.signing-serialization	3	1	4	81393	29393
8h8zpn	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
8hc43p	core.signature-checking.multisig.m-of-3	3	1	1	80025	28025
8jdmvu	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
8jjcj5	core.signing-serialization	2	1	1	54996	28996
8jw75j	core.signing-serialization	2	1	1	54996	28996
8kcm8j	core.signature-checking.multisig.m-of-3	3	2	2	80516	54516
8kgxem	core.signature-checking.multisig.m-of-20	20	2	2	527080	59080
8kha0h	core.signing-serialization	2	1	4	54972	28972
8kktsl	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
8kpemm	core.signing-serialization	2	1	1	54972	28972
8kq9wp	core.signing-serialization	2	1	1	55097	29097
8krl3w	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
8kxmu8	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
8l405f	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
8lr6ye	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
8nlk5g	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
8p0r0k	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
8p44vq	core.signing-serialization	3	1	4	81489	29489
8pa05y	core.signing-serialization	2	1	4	54996	28996
8q52h4	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
8qt9fd	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
8r2gkk	core.signature-checking.multisig.pubkey-validation	2	1	1	53924	27924
8rp9rf	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
8rs4sa	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
